1;St Pierre;Galiléen;33;64
138;Grégoire V;Saxon;03/05/996;18/02/999
139;Sylvestre II;Français;02/04/999;12/05/1003
140;Jean XVII;Romain;16/05/1003;06/11/1003
141;Jean XVIII;Romain;25/12/1003;06/1009
142;Serge IV;Romain;31/07/1009;12/05/1012
143;Benoît VIII;Italien;21/05/1012;09/04/1024
144;Jean XIX;Romain;19/04/1024;20/10/1032
145;Benoît IX;Italien;22/10/1032;09/1044
146;Sylvestre III;Romain;20/01/1045;10/03/1045
147;Benoît IX;Italien;10/03/1045;01/05/1045
148;Grégoire VI;Romain;01/05/1045;20/12/1046
149;Clément II;Saxon;24/12/1046;09/10/1047
150;Benoît IX;Italien;08/11/1047;16/07/1048
151;Damase II;Bavarois;17/07/1048;09/08/1048
152;St Léon IX;Alsacien;12/02/1049;19/04/1054
153;Victor II;Allemand;13/04/1055;28/07/1057
154;Etienne IX;Lorrain;02/08/1057;29/03/1058
155;Nicolas II;Français;06/12/1058;19/07/1061
156;Alexandre II;Italien;30/09/1061;21/04/1073
157;Grégoire VII;Toscan;30/06/1073;25/05/1085
158;Victor III;Italien;24/05/1086;16/09/1087
159;Urbain II;Français;12/03/1088;29/07/1099
160;Pascal II;Italien;14/08/1099;21/01/1118
161;Gélase II;Italien;10/03/1118;29/01/1119
162;Calixte II;Français;02/02/1119;13/12/1124
163;Honorius II;Italien;21/12/1124;13/02/1130
164;Innocent II;Italien;23/02/1130;24/09/1143
165;Célestin II;Italien;26/09/1143;08/03/1144
166;Lucius II;Italien;12/03/1144;15/02/1145
167;Eugène III;Pisan;18/02/1145;08/07/1153
168;Anastase IV;Romain;12/07/1153;03/12/1154
169;Adrien IV;Anglais;04/12/1154;01/09/1159
170;Alexandre III;Sienne;20/09/1159;30/08/1181
171;Lucius III;Italien;01/09/1181;25/11/1185
172;Urbain III;Milanais;25/11/1185;20/10/1187
173;Grégoire VIII;Italien;21/10/1187;17/12/1187
174;Clément III;Romain;19/12/1187;27/03/1191
175;Célestin III;Romain;30/03/1191;08/01/1198
176;Innocent III;Romain;08/01/1198;16/07/1216
177;Honorius III;Romain;18/07/1216;18/03/1227
178;Grégoire IX;Italien;19/03/1227;22/08/1241
179;Célestin IV;Milanais;25/10/1241;10/11/1241
180;Innocent IV;Génois;25/06/1243;07/12/1254
181;Alexandre IV;Romain;12/12/1254;25/05/1261
182;Urbain IV;Français;29/08/1261;02/10/1264
183;Clément IV;Français;05/02/1265;29/11/1268
184;Grégoire X;Italien;01/09/1271;10/01/1276
185;Innocent V;Savoie;21/01/1276;22/06/1276
186;Adrien V;Génois;11/07/1276;18/08/1276
187;Jean XXI;Portugais;08/09/1276;20/05/1277
188;Nicolas III;Romain;25/11/1277;22/08/1280
189;Martin IV;Français;22/02/1281;28/03/1285
190;Honorius IV;Romain;02/04/1285;03/04/1287
191;Nicolas IV;Italien;22/02/1288;04/04/1292
192;St Célestin V;Italien;05/07/1294;13/12/1294
193;Boniface VIII;Italien;24/12/1294;11/10/1303
194;Benoît XI;Italien;22/10/1303;07/07/1304
195;Clément V;Français;05/06/1305;20/04/1314
196;Jean XXII;Français;07/08/1316;04/12/1334
197;Benoît II;Français;20/12/1334;25/04/1342
198;Clément VI;Français;07/05/1342;06/12/1352
199;Innocent VI;Français;18/12/1352;12/09/1362
